Scenario,Class,Technology,Year,Value
Moderate,3,Technology 1,2038,4306.261823999991
Moderate,3,Technology 1,2039,4309.720271999991
Moderate,3,Technology 1,2040,4313.17872
Moderate,3,Technology 1,2041,4316.637167999991
Moderate,3,Technology 1,2042,4320.095616
Moderate,3,Technology 1,2043,4323.554063999992
Moderate,3,Technology 1,2044,4327.012512
Moderate,3,Technology 1,2045,4330.47096
Moderate,3,Technology 1,2046,4333.929407999991
Moderate,3,Technology 1,2047,4337.387855999991
Moderate,3,Technology 1,2048,4340.846304
Moderate,3,Technology 1,2049,4344.304751999991
Moderate,3,Technology 1,2050,4347.763199999991
Conservative,3,Technology 1,2022,4007.4079999999944
Conservative,3,Technology 1,2023,4012.897599999997
Conservative,3,Technology 1,2024,4018.3871999999915
Conservative,3,Technology 1,2025,4023.876799999994
Conservative,3,Technology 1,2026,4029.366399999997
Conservative,3,Technology 1,2027,4034.855999999991
Conservative,3,Technology 1,2028,4040.345599999994
Conservative,3,Technology 1,2029,4045.8351999999973
Conservative,3,Technology 1,2030,4051.3248
Conservative,3,Technology 1,2031,4056.2654399999915
Conservative,3,Technology 1,2032,4061.2060799999913
Conservative,3,Technology 1,2033,4066.146719999991
Conservative,3,Technology 1,2034,4071.08736
Conservative,3,Technology 1,2035,4076.027999999991
Conservative,3,Technology 1,2036,4080.9686399999914
Conservative,3,Technology 1,2037,4085.909279999991
Conservative,3,Technology 1,2038,4090.8499199999915
Conservative,3,Technology 1,2039,4095.790559999991
Conservative,3,Technology 1,2040,4100.731199999991
Conservative,3,Technology 1,2041,4105.671839999991
Conservative,3,Technology 1,2042,4110.612479999992
Conservative,3,Technology 1,2043,4115.553119999991
Conservative,3,Technology 1,2044,4120.493759999991
Conservative,3,Technology 1,2045,4125.434399999992
Conservative,3,Technology 1,2046,4130.375039999991
Conservative,3,Technology 1,2047,4135.3156799999915
Conservative,3,Technology 1,2048,4140.256319999991
Conservative,3,Technology 1,2049,4145.196959999991
Conservative,3,Technology 1,2050,4150.137599999991
Advanced,4,Technology 1,2022,3955.7838059259216
Advanced,4,Technology 1,2023,4016.442263703704
Advanced,4,Technology 1,2024,4077.4597733333294
Advanced,4,Technology 1,2025,4138.836334814807
Advanced,4,Technology 1,2026,4200.571948148145
Advanced,4,Technology 1,2027,4262.6666133333265
Advanced,4,Technology 1,2028,4325.120330370369
Advanced,4,Technology 1,2029,4387.933099259254
Advanced,4,Technology 1,2030,4451.104919999992
Advanced,4,Technology 1,2031,4454.095584
Advanced,4,Technology 1,2032,4457.086247999991
Advanced,4,Technology 1,2033,4460.0769119999995
Advanced,4,Technology 1,2034,4463.067575999991
Advanced,4,Technology 1,2035,4466.058239999991
Advanced,4,Technology 1,2036,4469.048904
Advanced,4,Technology 1,2037,4472.039567999992
Advanced,4,Technology 1,2038,4475.030232
Advanced,4,Technology 1,2039,4478.020895999992
Advanced,4,Technology 1,2040,4481.01156
Advanced,4,Technology 1,2041,4484.002223999992
Advanced,4,Technology 1,2042,4486.992887999992
Advanced,4,Technology 1,2043,4489.983552
Advanced,4,Technology 1,2044,4492.974215999991
Advanced,4,Technology 1,2045,4495.9648799999995
Advanced,4,Technology 1,2046,4498.955543999991
Advanced,4,Technology 1,2047,4501.946207999999
Advanced,4,Technology 1,2048,4504.936871999991
Advanced,4,Technology 1,2049,4507.927535999992
Advanced,4,Technology 1,2050,4510.9182
Moderate,4,Technology 1,2022,3925.40856
Moderate,4,Technology 1,2023,3955.33272
Moderate,4,Technology 1,2024,3985.25688
Moderate,4,Technology 1,2025,4015.18104
Moderate,4,Technology 1,2026,4045.1052
Moderate,4,Technology 1,2027,4075.02936
Moderate,4,Technology 1,2028,4104.95352
Moderate,4,Technology 1,2029,4134.87768
Moderate,4,Technology 1,2030,4164.80184
Moderate,4,Technology 1,2031,4168.168308
Moderate,4,Technology 1,2032,4171.5347759999995
Moderate,4,Technology 1,2033,4174.901244
Moderate,4,Technology 1,2034,4178.267712
Moderate,4,Technology 1,2035,4181.63418
Moderate,4,Technology 1,2036,4185.000648
Moderate,4,Technology 1,2037,4188.367116
Moderate,4,Technology 1,2038,4191.733584
Moderate,4,Technology 1,2039,4195.100052
Moderate,4,Technology 1,2040,4198.46652
Moderate,4,Technology 1,2041,4201.832988
Moderate,4,Technology 1,2042,4205.199456
Moderate,4,Technology 1,2043,4208.565924
Moderate,4,Technology 1,2044,4211.932392000001
Moderate,4,Technology 1,2045,4215.29886
Moderate,4,Technology 1,2046,4218.665328
Moderate,4,Technology 1,2047,4222.031796
Moderate,4,Technology 1,2048,4225.3982639999995
Moderate,4,Technology 1,2049,4228.764732
Moderate,4,Technology 1,2050,4232.1312
Conservative,4,Technology 1,2022,3900.828
